R,G,B,RGB,Closest Color,Sentiment Score,Original Words
0,0,0,"(0, 0, 0)",black,0.0,"swabble, paleoatavistic, undertreated, obeyable, scale, order"
0,0,50,"(0, 0, 50)",black,0.0,"swabble, paleoatavistic, undertreated, obeyable, scale, order"
0,0,100,"(0, 0, 100)",black,0.0,"swabble, paleoatavistic, undertreated, obeyable, scale, order"
0,0,150,"(0, 0, 150)",blue,0.172,"glean, photopathy, intelligent, daintily, perfect, collect"
0,0,200,"(0, 0, 200)",blue,0.172,"glean, photopathy, intelligent, daintily, perfect, collect"
0,0,250,"(0, 0, 250)",blue,0.172,"glean, photopathy, intelligent, daintily, perfect, collect"
0,50,0,"(0, 50, 0)",black,0.0,"swabble, paleoatavistic, undertreated, obeyable, scale, order"
0,50,50,"(0, 50, 50)",black,0.0,"swabble, paleoatavistic, undertreated, obeyable, scale, order"
0,50,100,"(0, 50, 100)",black,0.0,"swabble, paleoatavistic, undertreated, obeyable, scale, order"
0,50,150,"(0, 50, 150)",blue,0.172,"glean, photopathy, intelligent, daintily, perfect, collect"
0,50,200,"(0, 50, 200)",blue,0.172,"glean, photopathy, intelligent, daintily, perfect, collect"
0,50,250,"(0, 50, 250)",blue,0.172,"glean, photopathy, intelligent, daintily, perfect, collect"
0,100,0,"(0, 100, 0)",black,0.0,"swabble, paleoatavistic, undertreated, obeyable, scale, order"
0,100,50,"(0, 100, 50)",black,0.0,"swabble, paleoatavistic, undertreated, obeyable, scale, order"
0,100,100,"(0, 100, 100)",black,0.0,"swabble, paleoatavistic, undertreated, obeyable, scale, order"
0,100,150,"(0, 100, 150)",blue,0.172,"glean, photopathy, intelligent, daintily, perfect, collect"
0,100,200,"(0, 100, 200)",blue,0.172,"glean, photopathy, intelligent, daintily, perfect, collect"
0,100,250,"(0, 100, 250)",blue,0.172,"glean, photopathy, intelligent, daintily, perfect, collect"
0,150,0,"(0, 150, 0)",green,0.111,"heroic, bulbous, spontaneous, grow, transition"
0,150,50,"(0, 150, 50)",green,0.111,"heroic, bulbous, spontaneous, grow, transition"
0,150,100,"(0, 150, 100)",green,0.111,"heroic, bulbous, spontaneous, grow, transition"
0,150,150,"(0, 150, 150)",grey,0.089,"precary, cover, respectful, effective, lose, apposite"
0,150,200,"(0, 150, 200)",blue,0.172,"glean, photopathy, intelligent, daintily, perfect, collect"
0,150,250,"(0, 150, 250)",blue,0.172,"glean, photopathy, intelligent, daintily, perfect, collect"
0,200,0,"(0, 200, 0)",green,0.111,"heroic, bulbous, spontaneous, grow, transition"
